run_id,variant,model,prompt_strategy,tier,tier_order,database,question,gold_sql,generated_sql,outcome,correct,executed,silent_failure,error_type,confidence,confidence_bucket,gold_rows,returned_rows,tokens,cost_usd,latency_ms
14,V2,Llama 3.1 8B,few-shot,complex,3,climbing,What is the height of the mountain climbined by the climbing who had the most points?,SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1,SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,932,0.000048,8547
15,V3,Llama 3.1 70B,zero-shot,complex,3,climbing,What is the height of the mountain climbined by the climbing who had the most points?,SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1,SELECT T2.Height FROM climber AS T1 INNER JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,306,0.000192,1522
16,V4,Llama 3.1 70B,few-shot,complex,3,climbing,What is the height of the mountain climbined by the climbing who had the most points?,SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1,SELECT T2.Height FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID = T2.Mountain_ID ORDER BY T1.Points DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,932,0.000560,3324
17,V1,Llama 3.1 8B,zero-shot,complex,3,club_1,"Compute the average age of the members in the club ""Tennis Club"".","SELECT avg(t3.age) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid = t2.clubid JOIN student AS t3 ON t2.stuid = t3.stuid WHERE t1.clubname = ""Tennis Club""",SELECT AVG(T1.Age) FROM Student AS T1 JOIN Member_of_club AS T2 ON T1.StuID = T2.StuID JOIN Club AS T3 ON T2.ClubID = T3.ClubID WHERE T3.ClubName = 'Tennis Club',Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,365,0.000021,4539
18,V2,Llama 3.1 8B,few-shot,complex,3,club_1,"Compute the average age of the members in the club ""Tennis Club"".","SELECT avg(t3.age) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid = t2.clubid JOIN student AS t3 ON t2.stuid = t3.stuid WHERE t1.clubname = ""Tennis Club""",SELECT AVG(T2.age) FROM Club AS T1 JOIN Member_of_club AS T2 ON T1.clubid = T2.clubid WHERE T1.clubname = 'Tennis Club',Loud error,0,0,0,schema_error,0.95,0.9 to 1.0,1,,973,0.000050,10344
19,V3,Llama 3.1 70B,zero-shot,complex,3,club_1,"Compute the average age of the members in the club ""Tennis Club"".","SELECT avg(t3.age) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid = t2.clubid JOIN student AS t3 ON t2.stuid = t3.stuid WHERE t1.clubname = ""Tennis Club""",SELECT AVG(S.Age) FROM Student S JOIN Member_of_club M ON S.StuID = M.StuID JOIN Club C ON M.ClubID = C.ClubID WHERE C.ClubName = 'Tennis Club',Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,353,0.000221,2532
20,V4,Llama 3.1 70B,few-shot,complex,3,club_1,"Compute the average age of the members in the club ""Tennis Club"".","SELECT avg(t3.age) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid = t2.clubid JOIN student AS t3 ON t2.stuid = t3.stuid WHERE t1.clubname = ""Tennis Club""",SELECT AVG(T1.Age) FROM Student AS T1 JOIN Member_of_club AS T2 ON T1.StuID = T2.StuID JOIN Club AS T3 ON T2.ClubID = T3.ClubID WHERE T3.ClubName = 'Tennis Club',Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,997,0.000604,4539
21,V1,Llama 3.1 8B,zero-shot,complex,3,coffee_shop,What is the membership card held by both members living in Hartford and ones living in Waterbury address?,SELECT membership_card FROM member WHERE address = 'Hartford' INTERSECT SELECT membership_card FROM member WHERE address = 'Waterbury',SELECT DISTINCT T1.Membership_card FROM member AS T1 JOIN member AS T2 ON T1.Member_ID != T2.Member_ID WHERE T1.Address = 'Hartford' AND T2.Address = 'Waterbury',Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,410,0.000022,3320
22,V2,Llama 3.1 8B,few-shot,complex,3,coffee_shop,What is the membership card held by both members living in Hartford and ones living in Waterbury address?,SELECT membership_card FROM member WHERE address = 'Hartford' INTERSECT SELECT membership_card FROM member WHERE address = 'Waterbury',SELECT DISTINCT T1.membership_card FROM member AS T1 JOIN happy_hour_member AS T2 ON T1.member_id = T2.member_id WHERE T1.address = 'Hartford' INTERSECT SELECT DISTINCT T1.membership_card FROM member AS T1 JOIN happy_hour_member AS T2 ON T1.member_id = T2.member_id WHERE T1.address = 'Waterbury',Silent failure,0,1,1,wrong_join,0.8,0.7 to 0.9,1,0,1073,0.000056,9570
23,V3,Llama 3.1 70B,zero-shot,complex,3,coffee_shop,What is the membership card held by both members living in Hartford and ones living in Waterbury address?,SELECT membership_card FROM member WHERE address = 'Hartford' INTERSECT SELECT membership_card FROM member WHERE address = 'Waterbury',SELECT Membership_card FROM member WHERE Address = 'Hartford' INTERSECT SELECT Membership_card FROM member WHERE Address = 'Waterbury',Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,395,0.000243,1448
24,V4,Llama 3.1 70B,few-shot,complex,3,coffee_shop,What is the membership card held by both members living in Hartford and ones living in Waterbury address?,SELECT membership_card FROM member WHERE address = 'Hartford' INTERSECT SELECT membership_card FROM member WHERE address = 'Waterbury',SELECT Membership_card FROM member WHERE Address = 'Hartford' INTERSECT SELECT Membership_card FROM member WHERE Address = 'Waterbury',Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1021,0.000611,5472
25,V1,Llama 3.1 8B,zero-shot,complex,3,college_1,"What is the first, last name, gpa of the youngest one among students whose GPA is above 3?","SELECT stu_fname , stu_lname , stu_gpa FROM student WHERE stu_gpa > 3 ORDER BY stu_dob DESC LIMIT 1","SELECT STU_FNAME, STU_LNAME, STU_GPA FROM STUDENT WHERE STU_GPA > 3 ORDER BY STU_DOB DESC LIMIT 1",Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,662,0.000035,11476
26,V2,Llama 3.1 8B,few-shot,complex,3,college_1,"What is the first, last name, gpa of the youngest one among students whose GPA is above 3?","SELECT stu_fname , stu_lname , stu_gpa FROM student WHERE stu_gpa > 3 ORDER BY stu_dob DESC LIMIT 1","SELECT STU_FNAME, STU_LNAME, STU_GPA FROM STUDENT WHERE STU_GPA > 3 ORDER BY STU_DOB DESC LIMIT 1",Correct,1,1,0,none,0.95,0.9 to 1.0,1,1,1290,0.000066,13513
27,V3,Llama 3.1 70B,zero-shot,complex,3,college_1,"What is the first, last name, gpa of the youngest one among students whose GPA is above 3?","SELECT stu_fname , stu_lname , stu_gpa FROM student WHERE stu_gpa > 3 ORDER BY stu_dob DESC LIMIT 1","SELECT STU_FNAME, STU_LNAME, STU_GPA FROM STUDENT WHERE STU_GPA > 3 ORDER BY STU_DOB DESC LIMIT 1",Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,662,0.000402,3418
28,V4,Llama 3.1 70B,few-shot,complex,3,college_1,"What is the first, last name, gpa of the youngest one among students whose GPA is above 3?","SELECT stu_fname , stu_lname , stu_gpa FROM student WHERE stu_gpa > 3 ORDER BY stu_dob DESC LIMIT 1","SELECT STU_FNAME, STU_LNAME, STU_GPA FROM STUDENT WHERE STU_GPA > 3 ORDER BY STU_DOB DESC LIMIT 1",Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1290,0.000771,5976
29,V1,Llama 3.1 8B,zero-shot,complex,3,college_2,What are the names of students who took a course in the Fall of 2003?,SELECT name FROM student WHERE id IN (SELECT id FROM takes WHERE semester = 'Fall' AND YEAR = 2003),SELECT DISTINCT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.ID = T2.ID WHERE T2.semester = 'Fall' AND T2.year = 2003,Silent failure,0,1,1,wrong_filter,1.0,0.9 to 1.0,1278,1093,1202,0.000062,11556
30,V1,Llama 3.1 8B,zero-shot,complex,3,college_2,What are the names and salaries of instructors who advises students in the History department?,"SELECT T2.name , T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'History'","SELECT i.name, i.salary FROM instructor i JOIN advisor a ON i.ID = a.i_ID JOIN student s ON a.s_ID = s.ID JOIN department d ON s.dept_name = d.dept_name WHERE d.dept_name = 'History'",Correct,1,1,0,none,1.0,0.9 to 1.0,117,117,1212,0.000063,11592
31,V1,Llama 3.1 8B,zero-shot,complex,3,college_2,What are the names of students who haven't taken any Biology courses?,SELECT name FROM student WHERE id NOT IN (SELECT T1.id FROM takes AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.dept_name = 'Biology'),SELECT name FROM student WHERE ID NOT IN ( SELECT ID FROM takes JOIN course ON takes.course_id = course.course_id WHERE course.dept_name = 'Biology' ),Correct,1,1,0,none,0.9,0.9 to 1.0,1207,1207,1197,0.000062,355
32,V2,Llama 3.1 8B,few-shot,complex,3,college_2,What are the names of students who took a course in the Fall of 2003?,SELECT name FROM student WHERE id IN (SELECT id FROM takes WHERE semester = 'Fall' AND YEAR = 2003),SELECT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.ID = T2.ID WHERE T2.semester = 'Fall' AND T2.year = 2003,Silent failure,0,1,1,wrong_filter,0.95,0.9 to 1.0,1278,1848,1830,0.000093,17418
33,V2,Llama 3.1 8B,few-shot,complex,3,college_2,What are the names and salaries of instructors who advises students in the History department?,"SELECT T2.name , T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'History'","SELECT T1.name , T1.salary FROM instructor AS T1 JOIN advisor AS T2 ON T1.ID = T2.i_ID JOIN student AS T3 ON T2.s_ID = T3.ID JOIN department AS T4 ON T3.dept_name = T4.dept_name WHERE T4.dept_name = 'History'",Correct,1,1,0,none,0.95,0.9 to 1.0,117,117,1856,0.000095,18488
34,V2,Llama 3.1 8B,few-shot,complex,3,college_2,What are the names of students who haven't taken any Biology courses?,SELECT name FROM student WHERE id NOT IN (SELECT T1.id FROM takes AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.dept_name = 'Biology'),SELECT name FROM student WHERE ID NOT IN (SELECT ID FROM takes WHERE course_id IN (SELECT course_id FROM course WHERE dept_name = 'Biology')),Correct,1,1,0,none,0.95,0.9 to 1.0,1207,1207,1817,0.000092,18450
35,V3,Llama 3.1 70B,zero-shot,complex,3,college_2,What are the names of students who took a course in the Fall of 2003?,SELECT name FROM student WHERE id IN (SELECT id FROM takes WHERE semester = 'Fall' AND YEAR = 2003),SELECT DISTINCT S.name FROM student S JOIN takes T ON S.ID = T.ID WHERE T.semester = 'Fall' AND T.year = 2003,Silent failure,0,1,1,wrong_filter,1.0,0.9 to 1.0,1278,1093,1193,0.000714,6332
36,V3,Llama 3.1 70B,zero-shot,complex,3,college_2,What are the names of students who haven't taken any Biology courses?,SELECT name FROM student WHERE id NOT IN (SELECT T1.id FROM takes AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.dept_name = 'Biology'),SELECT name FROM student WHERE ID NOT IN ( SELECT T1.ID FROM takes AS T1 INNER JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.dept_name = 'Biology' ),Correct,1,1,0,none,0.9,0.9 to 1.0,1207,1207,1211,0.000729,616
37,V3,Llama 3.1 70B,zero-shot,complex,3,college_2,What are the names and salaries of instructors who advises students in the History department?,"SELECT T2.name , T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'History'","SELECT DISTINCT i.name, i.salary FROM instructor i JOIN advisor a ON i.ID = a.i_ID JOIN student s ON a.s_ID = s.ID WHERE s.dept_name = 'History'",Silent failure,0,1,1,wrong_filter,1.0,0.9 to 1.0,117,47,1199,0.000719,377
38,V4,Llama 3.1 70B,few-shot,complex,3,college_2,What are the names of students who took a course in the Fall of 2003?,SELECT name FROM student WHERE id IN (SELECT id FROM takes WHERE semester = 'Fall' AND YEAR = 2003),SELECT T1.name FROM student AS T1 JOIN takes AS T2 ON T1.ID = T2.ID WHERE T2.semester = 'Fall' AND T2.year = 2003,Silent failure,0,1,1,wrong_filter,0.9,0.9 to 1.0,1278,1848,1830,0.001091,9659
39,V4,Llama 3.1 70B,few-shot,complex,3,college_2,What are the names and salaries of instructors who advises students in the History department?,"SELECT T2.name , T2.salary FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id = T2.id JOIN student AS T3 ON T1.s_id = T3.id WHERE T3.dept_name = 'History'","SELECT T1.name, T1.salary FROM instructor AS T1 JOIN advisor AS T2 ON T1.ID = T2.i_ID JOIN student AS T3 ON T2.s_ID = T3.ID WHERE T3.dept_name = 'History'",Correct,1,1,0,none,0.9,0.9 to 1.0,117,117,1843,0.001101,9496
40,V4,Llama 3.1 70B,few-shot,complex,3,college_2,What are the names of students who haven't taken any Biology courses?,SELECT name FROM student WHERE id NOT IN (SELECT T1.id FROM takes AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.dept_name = 'Biology'),SELECT name FROM student WHERE ID NOT IN ( SELECT T1.ID FROM takes AS T1 JOIN course AS T2 ON T1.course_id = T2.course_id WHERE T2.dept_name = 'Biology' ),Correct,1,1,0,none,0.9,0.9 to 1.0,1207,1207,1841,0.001100,9671
41,V1,Llama 3.1 8B,zero-shot,complex,3,county_public_safety,What are the names of cities that are in counties that have a crime rate below 100?,SELECT name FROM city WHERE county_id IN (SELECT county_id FROM county_public_safety WHERE Crime_rate < 100),SELECT c.Name FROM city c JOIN county_public_safety cps ON c.County_ID = cps.County_ID WHERE cps.Crime_rate < 100,Correct,1,1,0,none,1.0,0.9 to 1.0,2,2,341,0.000019,3405
42,V2,Llama 3.1 8B,few-shot,complex,3,county_public_safety,What are the names of cities that are in counties that have a crime rate below 100?,SELECT name FROM city WHERE county_id IN (SELECT county_id FROM county_public_safety WHERE Crime_rate < 100),SELECT T1.name FROM city AS T1 JOIN county_public_safety AS T2 ON T1.county_id = T2.county_id WHERE T2.crime_rate < 100,Correct,1,1,0,none,0.95,0.9 to 1.0,2,2,977,0.000050,13646
43,V3,Llama 3.1 70B,zero-shot,complex,3,county_public_safety,What are the names of cities that are in counties that have a crime rate below 100?,SELECT name FROM city WHERE county_id IN (SELECT county_id FROM county_public_safety WHERE Crime_rate < 100),SELECT T1.Name FROM city AS T1 INNER JOIN county_public_safety AS T2 ON T1.County_ID = T2.County_ID WHERE T2.Crime_rate < 100,Correct,1,1,0,none,1.0,0.9 to 1.0,2,2,351,0.000219,2510
44,V4,Llama 3.1 70B,few-shot,complex,3,county_public_safety,What are the names of cities that are in counties that have a crime rate below 100?,SELECT name FROM city WHERE county_id IN (SELECT county_id FROM county_public_safety WHERE Crime_rate < 100),SELECT T1.Name FROM city AS T1 JOIN county_public_safety AS T2 ON T1.County_ID = T2.County_ID WHERE T2.Crime_rate < 100,Correct,1,1,0,none,0.9,0.9 to 1.0,2,2,978,0.000588,4501
45,V1,Llama 3.1 8B,zero-shot,complex,3,course_teach,Show names of teachers and the courses they are arranged to teach in ascending alphabetical order of the teacher's name.,"SELECT T3.Name , T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID = T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID = T3.Teacher_ID ORDER BY T3.Name","SELECT T1.Name, T2.Course FROM teacher AS T1 JOIN course_arrange AS T2 ON T1.Teacher_ID = T2.Teacher_ID JOIN course AS T3 ON T2.Course_ID = T3.Course_ID ORDER BY T1.Name ASC",Loud error,0,0,0,schema_error,1.0,0.9 to 1.0,6,,344,0.000019,2395
46,V2,Llama 3.1 8B,few-shot,complex,3,course_teach,Show names of teachers and the courses they are arranged to teach in ascending alphabetical order of the teacher's name.,"SELECT T3.Name , T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID = T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID = T3.Teacher_ID ORDER BY T3.Name","SELECT T1.name , T2.course FROM teacher AS T1 JOIN course_arrange AS T2 ON T1.teacher_id = T2.teacher_id JOIN course AS T3 ON T2.course_id = T3.course_id ORDER BY T1.name ASC",Loud error,0,0,0,schema_error,0.95,0.9 to 1.0,6,,970,0.000050,9390
47,V3,Llama 3.1 70B,zero-shot,complex,3,course_teach,Show names of teachers and the courses they are arranged to teach in ascending alphabetical order of the teacher's name.,"SELECT T3.Name , T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID = T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID = T3.Teacher_ID ORDER BY T3.Name","SELECT T.Name, C.Course FROM teacher T JOIN course_arrange CA ON T.Teacher_ID = CA.Teacher_ID JOIN course C ON CA.Course_ID = C.Course_ID ORDER BY T.Name ASC",Correct,1,1,0,none,1.0,0.9 to 1.0,6,6,331,0.000207,2272
48,V4,Llama 3.1 70B,few-shot,complex,3,course_teach,Show names of teachers and the courses they are arranged to teach in ascending alphabetical order of the teacher's name.,"SELECT T3.Name , T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID = T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID = T3.Teacher_ID ORDER BY T3.Name","SELECT T1.Name, T3.Course FROM teacher AS T1 JOIN course_arrange AS T2 ON T1.Teacher_ID = T2.Teacher_ID JOIN course AS T3 ON T2.Course_ID = T3.Course_ID ORDER BY T1.Name ASC",Correct,1,1,0,none,0.9,0.9 to 1.0,6,6,976,0.000590,890
49,V1,Llama 3.1 8B,zero-shot,complex,3,csu_1,Which year has the most degrees conferred?,SELECT YEAR FROM degrees GROUP BY YEAR ORDER BY sum(degrees) DESC LIMIT 1,"SELECT Year, Degrees FROM degrees ORDER BY Degrees DESC LIMIT 1",Silent failure,0,1,1,wrong_aggregation,1.0,0.9 to 1.0,1,1,480,0.000025,10358
50,V1,Llama 3.1 8B,zero-shot,complex,3,csu_1,What campus has the most faculties in 2003?,SELECT T1.campus FROM campuses AS T1 JOIN faculty AS T2 ON T1.id = T2.campus WHERE T2.year = 2003 ORDER BY T2.faculty DESC LIMIT 1,SELECT Campus FROM faculty WHERE Year = 2003 ORDER BY Faculty DESC LIMIT 1,Silent failure,0,1,1,wrong_join,1.0,0.9 to 1.0,1,1,488,0.000025,5487
51,V2,Llama 3.1 8B,few-shot,complex,3,csu_1,Which year has the most degrees conferred?,SELECT YEAR FROM degrees GROUP BY YEAR ORDER BY sum(degrees) DESC LIMIT 1,SELECT Year FROM degrees GROUP BY Year ORDER BY COUNT(Degrees) DESC LIMIT 1,Silent failure,0,1,1,wrong_aggregation,0.9,0.9 to 1.0,1,1,1114,0.000057,11564
52,V2,Llama 3.1 8B,few-shot,complex,3,csu_1,What campus has the most faculties in 2003?,SELECT T1.campus FROM campuses AS T1 JOIN faculty AS T2 ON T1.id = T2.campus WHERE T2.year = 2003 ORDER BY T2.faculty DESC LIMIT 1,SELECT T1.campus FROM campuses AS T1 JOIN faculty AS T2 ON T1.id = T2.campus WHERE T2.year = 2003 ORDER BY T2.faculty DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1141,0.000059,6498
53,V3,Llama 3.1 70B,zero-shot,complex,3,csu_1,What campus has the most faculties in 2003?,SELECT T1.campus FROM campuses AS T1 JOIN faculty AS T2 ON T1.id = T2.campus WHERE T2.year = 2003 ORDER BY T2.faculty DESC LIMIT 1,SELECT C.Campus FROM Campuses C JOIN faculty F ON C.Id = F.Campus WHERE F.Year = 2003 ORDER BY F.Faculty DESC LIMIT 1,Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,507,0.000310,2402
54,V3,Llama 3.1 70B,zero-shot,complex,3,csu_1,Which year has the most degrees conferred?,SELECT YEAR FROM degrees GROUP BY YEAR ORDER BY sum(degrees) DESC LIMIT 1,SELECT Year FROM degrees GROUP BY Year ORDER BY SUM(Degrees) DESC LIMIT 1,Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,486,0.000294,2500
55,V4,Llama 3.1 70B,few-shot,complex,3,csu_1,Which year has the most degrees conferred?,SELECT YEAR FROM degrees GROUP BY YEAR ORDER BY sum(degrees) DESC LIMIT 1,SELECT Year FROM degrees GROUP BY Year ORDER BY SUM(Degrees) DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1114,0.000664,5668
56,V4,Llama 3.1 70B,few-shot,complex,3,csu_1,What campus has the most faculties in 2003?,SELECT T1.campus FROM campuses AS T1 JOIN faculty AS T2 ON T1.id = T2.campus WHERE T2.year = 2003 ORDER BY T2.faculty DESC LIMIT 1,SELECT T1.Campus FROM Campuses AS T1 JOIN faculty AS T2 ON T1.Id = T2.Campus WHERE T2.Year = 2003 ORDER BY T2.Faculty DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1143,0.000686,5659
57,V1,Llama 3.1 8B,zero-shot,complex,3,culture_company,Show all director names who have a movie in both year 1999 and 2000.,SELECT director FROM movie WHERE YEAR = 2000 INTERSECT SELECT director FROM movie WHERE YEAR = 1999,SELECT DISTINCT T1.Director FROM movie AS T1 JOIN culture_company AS T2 ON T1.movie_id = T2.movie_id WHERE T1.Year = 1999 AND T2.movie_id IN (SELECT movie_id FROM movie WHERE YEAR = 2000),Silent failure,0,1,1,wrong_join,0.9,0.9 to 1.0,1,0,409,0.000023,4436
